date_time,deg_C,relative_humidity,absolute_humidity,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,target_carbon_monoxide,target_benzene,target_nitrogen_oxides,day_of_week,day_type,monthly_median,monthly_mean,sensor_combination
2011-01-26 01:00:00,4.2,50.2,0.3939,732.8,516.2,1399.8,792.1,332.3,1.5,12.5,424.7,2,weekday,789.6,786.9769230769232,408095.0430769232
2011-01-26 08:00:00,3.2,52.2,0.3934,887.0,648.0,1105.6,904.7,482.7,0.4,5.2,177.0,2,weekday,789.6,786.9769230769232,585458.6230769231
2011-01-28 01:00:00,3.1,50.2,0.3716,892.0,588.5,1010.5,761.4,550.0,1.9,19.3,148.0,4,weekday,789.6,786.9769230769232,594679.25
2011-01-29 03:00:00,1.5,53.4,0.3692,774.2,459.6,1279.7,736.0,325.9,1.8,11.3,145.0,5,weekend,789.6,786.9769230769232,588150.12
2011-01-29 04:00:00,1.5,54.9,0.3687,799.3,458.4,1372.4,729.6,326.7,0.5,6.0,60.4,5,weekend,789.6,786.9769230769232,629108.16
2011-01-29 05:00:00,1.1,58.0,0.3657,804.3,448.0,1538.8,756.0,308.2,5.2,3.3,243.1,5,weekend,789.6,786.9769230769232,689382.4
2011-01-29 06:00:00,1.4,53.3,0.3591,727.6,476.3,1369.9,727.6,337.3,4.4,17.5,311.9,5,weekend,789.6,786.9769230769232,652483.3700000001
2011-01-29 07:00:00,1.6,53.6,0.3561,841.0,498.9,1297.5,701.2,406.8,1.1,3.9,490.8,5,weekend,789.6,786.9769230769232,647322.75
2011-01-29 08:00:00,1.5,51.0,0.3642,889.4,591.9,1128.1,789.6,482.5,2.7,48.7,1112.6,5,weekend,789.6,786.9769230769232,466577.2630769231
2011-01-29 09:00:00,1.8,56.8,0.3785,874.0,634.6,1052.7,822.7,586.2,2.9,7.8,170.7,5,weekend,789.6,786.9769230769232,521298.44307692314
2011-01-29 11:00:00,2.9,50.6,0.3706,923.5,652.0,1045.5,833.0,508.7,0.8,13.2,76.4,5,weekend,789.6,786.9769230769232,542329.0230769231
2011-01-29 20:00:00,2.6,51.0,0.37,925.0,671.2,912.0,861.0,558.4,1.6,8.7,95.4,5,weekend,789.6,786.9769230769232,577116.2230769232
2011-01-29 23:00:00,2.9,51.6,0.3726,841.0,580.6,1113.3,815.8,395.5,0.9,4.3,737.2,5,weekend,789.6,786.9769230769232,472866.5030769231
2011-02-06 03:00:00,2.7,51.7,0.3658,895.7,644.0,1001.2,832.0,977.3,1.4,12.4,160.0,6,weekend,765.75,769.01,535038.99
2011-02-06 04:00:00,0.8,52.7,0.3542,889.0,605.3,1036.4,792.0,897.1,2.4,3.8,185.1,6,weekend,765.75,769.01,478628.58999999997
2011-02-06 05:00:00,1.1,50.3,0.3515,802.8,600.6,1123.5,788.0,745.4,4.0,6.8,1003.9,6,weekend,765.75,769.01,472503.79000000004
2011-02-06 06:00:00,1.1,52.7,0.3489,879.9,546.9,1157.5,735.3,715.4,1.3,12.8,124.8,6,weekend,765.75,769.01,633036.75
2011-02-06 08:00:00,0.8,50.2,0.3468,849.7,489.2,1122.2,732.4,729.2,3.0,29.6,42.3,6,weekend,765.75,769.01,548980.24
2011-02-06 09:00:00,0.3,50.5,0.3424,922.2,587.8,1036.4,743.5,700.2,0.7,24.7,55.1,6,weekend,765.75,769.01,609195.92
2011-02-28 06:00:00,2.9,52.6,0.3972,802.4,414.1,1548.4,670.3,269.8,0.6,4.2,315.4,0,weekday,765.75,769.01,641192.4400000001
2011-02-28 07:00:00,2.4,55.3,0.3908,792.5,448.1,1405.6,717.4,286.4,0.5,7.2,310.1,0,weekday,765.75,769.01,629849.36
2011-02-28 08:00:00,2.6,51.0,0.3804,848.4,635.3,1004.8,803.5,424.1,3.8,13.4,210.0,0,weekday,765.75,769.01,509694.54
2011-02-28 09:00:00,2.5,51.9,0.3714,847.7,632.6,980.7,875.7,511.2,1.6,20.3,32.6,0,weekday,765.75,769.01,553198.81
2011-03-08 01:00:00,2.6,55.2,0.3855,1036.3,734.1,823.0,853.7,1091.8,7.8,8.3,160.6,1,weekday,853.7,981.7111111111111,625719.4588888889
2011-03-08 02:00:00,2.1,52.4,0.3831,882.6,685.4,901.6,868.0,1084.6,1.2,2.7,227.8,1,weekday,853.7,981.7111111111111,593945.4888888889
2011-03-08 03:00:00,1.0,52.7,0.3803,849.7,610.6,967.2,798.7,927.0,2.8,2.7,214.7,1,weekday,853.7,981.7111111111111,590572.3200000001
2011-03-08 04:00:00,0.5,57.0,0.3841,889.4,580.3,1001.3,766.6,861.5,1.7,8.7,111.3,1,weekday,853.7,981.7111111111111,581054.3899999999
2011-03-08 05:00:00,1.3,52.8,0.3903,834.7,568.3,962.6,762.6,921.4,2.4,15.5,167.9,1,weekday,853.7,981.7111111111111,547045.58
2011-03-08 06:00:00,0.9,55.5,0.388,917.7,676.3,987.0,812.2,892.1,0.5,6.5,214.8,1,weekday,853.7,981.7111111111111,667508.1
2011-03-08 07:00:00,0.3,57.3,0.3881,951.4,762.4,759.8,893.8,995.5,2.1,25.8,148.5,1,weekday,853.7,981.7111111111111,680451.4088888889
2011-03-08 08:00:00,0.8,59.1,0.3913,1382.9,1271.9,518.9,1400.8,1665.3,3.4,5.5,875.2,1,weekday,853.7,981.7111111111111,1780695.808888889
2011-03-08 09:00:00,4.2,50.3,0.3959,1430.0,1403.5,453.5,1679.0,1809.6,2.3,27.5,168.5,1,weekday,853.7,981.7111111111111,2355494.788888889
